"Position (m) Run #1","Force (N) Run #1"
4.40547E-8,-0.2
1.32211E-7,-0.7
0.00000,0.0
4.40547E-8,-0.2
-8.80628E-8,0.5
4.40547E-8,-0.2
1.76312E-7,-1.0
2.20429E-7,-1.2
2.20429E-7,-1.2
3.08709E-7,-1.7
3.08709E-7,-1.7
2.64561E-7,-1.4
2.64561E-7,-1.4
2.64561E-7,-1.4
2.20429E-7,-1.2
2.20429E-7,-1.2
2.20429E-7,-1.2
2.64561E-7,-1.4
3.08709E-7,-1.7
2.64561E-7,-1.4
1.32211E-7,-0.7
2.64561E-7,-1.4
2.64561E-7,-1.4
2.20429E-7,-1.2
3.08709E-7,-1.7
3.08709E-7,-1.7
3.52873E-7,-1.9
3.52873E-7,-1.9
2.64561E-7,-1.4
2.64561E-7,-1.4
2.64561E-7,-1.4
2.20429E-7,-1.2
2.64561E-7,-1.4
3.08709E-7,-1.7
2.20429E-7,-1.2
2.64561E-7,-1.4
1.76312E-7,-1.0
1.76312E-7,-1.0
3.08709E-7,-1.7
7.67211E-7,-0.7
7.67211E-7,-0.7
4.14959E-7,1.2
9.39714E-7,5.3
1.12061E-7,9.9
5.73524E-7,10.8
1.12152E-8,14.0
2.58432E-7,16.1
1.64303E-7,20.2
-1.03617E-8,24.8
-2.21886E-7,29.6
-4.27456E-7,34.4
-6.19485E-8,43.3
-5.55995E-7,53.7
-6.28789E-7,65.5
-1.50410E-6,74.6
-1.52941E-6,82.6
-1.53969E-6,90.5
-1.87768E-6,100.6
-2.30418E-6,111.5
-2.14258E-6,122.8
-2.71449E-6,130.7
-2.74517E-6,139.4
-2.89693E-6,144.7
-2.83030E-6,148.5
-2.90125E-6,153.3
-2.86234E-6,157.4
-3.20149E-6,164.2
-3.53107E-6,170.9
-3.04632E-6,176.4
-3.69022E-6,181.0
-3.32505E-6,182.9
-3.52692E-6,184.4
-3.26092E-6,187.0
-3.25992E-6,191.6
-3.55155E-6,198.4
-3.89924E-6,205.6
-3.53718E-6,212.3
-3.80124E-6,219.1
-3.77131E-6,223.6
-3.92635E-6,229.6
-3.62644E-6,237.1
-4.04332E-6,245.3
-3.99501E-6,254.9
-4.11497E-6,260.9
-4.07921E-6,265.8
-3.83149E-6,268.9
-3.81841E-6,273.9
-4.31855E-6,278.0
-4.23906E-6,282.6
-3.80985E-6,289.6
-4.23547E-6,298.5
-4.30947E-6,304.5
-4.09700E-6,308.1
-4.07758E-6,313.4
-3.91521E-6,317.5
-3.77758E-6,321.8
-3.69163E-6,326.7
-3.87316E-6,333.9
-3.57200E-6,342.5
-3.65426E-6,354.8
-3.66158E-6,366.6
-3.82388E-6,374.1
-3.69882E-6,378.9
-3.13698E-6,385.6
-3.50215E-6,395.3
-2.77970E-6,406.8
-2.74575E-6,419.1
-2.99440E-6,428.0
-2.80906E-6,432.6
-2.66768E-6,437.6
-2.33663E-6,440.8
-2.70880E-6,444.6
-2.67457E-6,450.9
-2.00027E-6,457.1
-2.06901E-6,464.6
-1.60738E-6,473.3
-1.72726E-6,481.4
-1.68584E-6,487.9
-1.50897E-6,493.0
-8.88205E-7,500.2
-1.06675E-6,509.4
-8.31535E-7,521.2
